name,full_name,trip_count,trip_list,stop_count,stop_list,id,direction_id
8THM-D31G,8th Mile Dasarahalli → Depot-31 Gate,1,['18:35:00'],18,"['8th Mile Dasarahalli', 'T Dasarahalli', 'Jalahalli Cross', 'Peenya Industry Metro Station', 'SRS Peenya', 'Peenya Metro Station', 'CMTI', 'Reliance Petrol Bunk Goraguntepalya', 'Modern Food Goraguntepalya', 'Kanteerava Studio', 'Rajkumar Punya Bhoomi', 'Nandhini Layout', 'Nandini Layout Ring Road', 'Laggere Bridge', 'Kempegowda Arch', 'Chowdeshwarinagara', 'Lurdubayi Samudaya Bhavana', 'Depot-31 Gate']",7674,0
BC-7H D31G-8MYL,Depot-31 Gate → 8th Mile Dasarahalli,2,"['14:01:00', '14:26:00']",28,"['Depot-31 Gate', 'Summanahalli', 'Kottigepalya', 'Lakshmi Institution', 'Sunkadakatte', 'Herohalli Cross', 'Herohalli Sunkadakatte', 'Venkateshwara Layout', 'Syndicate Bank Layout', 'Lingadeeranahalli Arch', 'Acharya College', 'Vidyamanyanagara', 'Andhrahalli', 'Andhrahalli Govt School', 'Anjaneya Temple Thigalarapalya', 'Garudappa Circle Thigalarapalya', 'Thigalarapalya', 'Kari Obanahalli', 'Siddartha School Cross', 'Indiranagara', 'Ganga International School', 'Gruhalakshmi Layout', 'Nelagadarenahalli', 'HMT Layout 8th Mile', 'Nagasandra Cross', 'Rukmini Nagara', '8th Mile Dasarahalli', '8th Mile Dasarahalli']",5985,0
BC-7H D31G-8MYL,8th Mile Dasarahalli → Depot-31 Gate,1,['12:05:00'],27,"['8th Mile Dasarahalli', 'Rukmini Nagara', 'Nagasandra Cross', 'HMT Layout 8th Mile', 'Nelagadarenahalli', 'Gruhalakshmi Layout', 'Ganga International School', 'Indiranagara', 'Siddartha School Cross', 'Kari Obanahalli', 'Thigalarapalya', 'Garudappa Circle Thigalarapalya', 'Anjaneya Temple Thigalarapalya', 'Andhrahalli Govt School', 'Andhrahalli', 'Vidyamanyanagara', 'Acharya College', 'Lingadeeranahalli Arch', 'Syndicate Bank Layout', 'Venkateshwara Layout', 'Herohalli Sunkadakatte', 'Herohalli Cross', 'Janapriya Apartment', 'Sunkadakatte', 'Kottigepalya', 'Summanahalli', 'Depot-31 Gate']",5985,1
515-B,Jnanabharathi Metro Station → 8th Mile Dasarahalli,36,"['07:55:00', '08:20:00', '09:00:00', '09:25:00', '10:00:00', '10:25:00', '10:40:00', '10:55:00', '11:10:00', '11:25:00', '11:40:00', '12:05:00', '12:20:00', '12:35:00', '12:50:00', '13:05:00', '13:20:00', '13:35:00', '13:50:00', '14:15:00', '14:45:00', '15:00:00', '15:25:00', '15:45:00', '16:00:00', '16:10:00', '16:25:00', '16:40:00', '16:55:00', '17:15:00', '17:40:00', '18:00:00', '18:30:00', '19:00:00', '19:35:00', '20:10:00']",36,"['Jnanabharathi Metro Station', 'BUC Ladies Hostel', 'BUC Library', 'BUC ADM Block', 'Univesity Quarters', 'Mallathahalli Cross', 'Kengunte Circle (IIPM)', 'Ambedkar Institute of Technology', 'Deepa Complex', 'ITI Layout', 'Nagarabhavi Vishweshwaraiah Sports Club', 'Annapoorneshwari nagara Cross', 'Muddayyanapalya Junction', 'Gidadakonenahalli Cross', 'Bharath Nagara 1st Phase', 'Herohalli Cross', 'Herohalli Sunkadakatte', 'Venkateshwara Layout', 'Syndicate Bank Layout', 'Lingadeeranahalli Arch', 'Acharya College', 'Vidyamanyanagara', 'Andhrahalli', 'Andhrahalli Govt School', 'Anjaneya Temple Thigalarapalya', 'Garudappa Circle Thigalarapalya', 'Thigalarapalya', 'Kari Obanahalli', 'Siddartha School Cross', 'Indiranagara', 'Ganga International School', 'Gruhalakshmi Layout', 'Nelagadarenahalli', 'HMT Layout 8th Mile', 'Rukmini Nagara', '8th Mile Dasarahalli']",8611,0
515-B,8th Mile Dasarahalli → Jnanabharathi Metro Station,36,"['06:50:00', '07:10:00', '07:40:00', '08:15:00', '08:35:00', '08:55:00', '09:15:00', '09:35:00', '09:50:00', '10:20:00', '10:35:00', '11:00:00', '11:15:00', '11:30:00', '11:45:00', '12:00:00', '12:15:00', '12:30:00', '12:45:00', '13:10:00', '13:25:00', '13:40:00', '14:10:00', '14:25:00', '14:40:00', '14:55:00', '15:20:00', '15:35:00', '15:50:00', '16:05:00', '16:30:00', '16:50:00', '17:10:00', '17:50:00', '18:25:00', '19:00:00']",37,"['8th Mile Dasarahalli', 'Rukmini Nagara', 'Nagasandra Cross', 'HMT Layout 8th Mile', 'Nelagadarenahalli', 'Gruhalakshmi Layout', 'Ganga International School', 'Indiranagara', 'Siddartha School Cross', 'Kari Obanahalli', 'Thigalarapalya', 'Garudappa Circle Thigalarapalya', 'Anjaneya Temple Thigalarapalya', 'Andhrahalli Govt School', 'Andhrahalli', 'Vidyamanyanagara', 'Acharya College', 'Lingadeeranahalli Arch', 'Syndicate Bank Layout', 'Venkateshwara Layout', 'Herohalli Sunkadakatte', 'Herohalli Cross', 'Bharath Nagara 1st Phase', 'Gidadakonenahalli Cross', 'Muddayanapalya Junction', 'Annapoorneshwarinagara Cross', 'Nagarabhavi Vishweshwaraiah Sports Club', 'ITI Layout', 'Deepa Complex', 'Ambedkar Institute of Technology', 'Kengunte Circle (IIPM)', 'Mallathahalli Cross', 'Bengaluru University Quarters', 'BUC ADM Block', 'BUC Library', 'BUC Ladies Hostel', 'Jnanabharathi Metro Station']",8611,1
515-B 8THML-KGR,Kengeri Bus Station → 8th Mile Dasarahalli,1,['08:26:00'],42,"['Kengeri Bus Station', 'Mylasandra Cross', 'Dubasipalya Cross', 'RV College', 'Hyundai Showroom Mysore Road', 'Jayaram Das Factory', 'Bengaluru University Gate', 'BUC Ladies Hostel', 'BUC Library', 'BUC ADM Block', 'Univesity Quarters', 'Mallathahalli Cross', 'Kengunte Circle (IIPM)', 'Ambedkar Institute of Technology', 'Deepa Complex', 'ITI Layout', 'Nagarabhavi Vishweshwaraiah Sports Club', 'Annapoorneshwari nagara Cross', 'Muddayyanapalya Junction', 'Gidadakonenahalli Cross', 'Bharath Nagara 1st Phase', 'Herohalli Cross', 'Herohalli Sunkadakatte', 'Venkateshwara Layout', 'Syndicate Bank Layout', 'Lingadeeranahalli Arch', 'Acharya College', 'Vidyamanyanagara', 'Andhrahalli', 'Andhrahalli Govt School', 'Anjaneya Temple Thigalarapalya', 'Garudappa Circle Thigalarapalya', 'Thigalarapalya', 'Kari Obanahalli', 'Siddartha School Cross', 'Indiranagara', 'Ganga International School', 'Gruhalakshmi Layout', 'Nelagadarenahalli', 'HMT Layout 8th Mile', 'Rukmini Nagara', '8th Mile Dasarahalli']",8474,0
BC-7B PSS-NLGH-8thM,Peenya 2nd stage → 8th Mile Dasarahalli,8,"['06:20:00', '06:30:00', '07:30:00', '08:15:00', '08:30:00', '09:20:00', '15:10:00', '15:30:00']",13,"['Peenya 2nd stage', 'Manjushree Garments PSS', 'Thigalarapalya', 'Kari Obanahalli', 'Siddartha School Cross', 'Indiranagara', 'Ganga International School', 'Gruhalakshmi Layout', 'Nelagadarenahalli', 'HMT Layout 8th Mile', 'Nagasandra Cross', 'Rukmini Nagara', '8th Mile Dasarahalli']",6080,0
BC-7B PSS-NLGH-8thM,8th Mile Dasarahalli → Peenya 2nd Stage,6,"['12:55:00', '18:10:00', '19:05:00', '20:45:00', '21:10:00', '21:20:00']",13,"['8th Mile Dasarahalli', 'Rukmini Nagara', 'Nagasandra Cross', 'HMT Layout 8th Mile', 'Nelagadarenahalli', 'Gruhalakshmi Layout', 'Ganga International School', 'Indiranagara', 'Siddartha School Cross', 'Kari Obanahalli', 'Thigalarapalya', 'Manjushree Garments PSS', 'Peenya 2nd Stage']",6080,1
PSS-NLGDH-8THM,Peenya 2nd stage → 8th Mile Dasarahalli,2,"['06:25:00', '06:45:00']",17,"['Peenya 2nd stage', 'Kalikanagara Shiva Temple', 'Andhrahalli', 'Andhrahalli Govt School', 'Anjaneya Temple Thigalarapalya', 'Garudappa Circle Thigalarapalya', 'Thigalarapalya', 'Kari Obanahalli', 'Siddartha School Cross', 'Indiranagara', 'Ganga International School', 'Gruhalakshmi Layout', 'Nelagadarenahalli', 'HMT Layout 8th Mile', 'Nagasandra Cross', 'Rukmini Nagara', '8th Mile Dasarahalli']",7834,0
600-A,Banashankari Bus Station → AECS Layout Singasandra,6,"['08:05:00', '10:20:00', '13:30:00', '15:25:00', '17:25:00', '19:50:00']",19,"['Banashankari Bus Station', 'Sangam Circle', 'Jayanagara 5th Block', 'Marenahalli Petrol Bunk(Ragigudda Metro Station)', 'Ragigudda Temple', 'East End Jayanagara', 'MICO Layout BTM', 'BTM Layout Water Tank', 'BTM Layout 16th Main', 'Kuvempunagara ( BTM Layout)', 'Central Silk Board', 'Roopena Agrahara', 'Bommanahalli', 'Hongasandra Metro Station', 'Garvebhavipalya', 'Kudlu Gate', 'BTR Garden', 'Kudlu Panchayath Office', 'AECS Layout Singasandra']",8605,0
600-A,AECS Layout Singasandra → Banashankari Bus Station,6,"['09:00:00', '11:15:00', '14:25:00', '16:25:00', '18:25:00', '20:45:00']",19,"['AECS Layout Singasandra', 'Kudlu Panchayath Office', 'BTR Garden', 'Kudlu Gate', 'Garvebhavipalya', 'Hongasandra Metro Station', 'Bommanahalli', 'Roopena Agrahara', 'Central Silk Board Metro Station', 'Kuvempunagara Bus Station(BTM Layout)', 'BTM Layout 16th Main', 'BTM Layout Water Tank', 'MICO Layout BTM', 'East End Jayanagara', 'Ragigudda Temple', 'Marenahalli Petrol Bunk(Ragigudda Metro Station)', 'Jayanagara 5th Block', 'Sangam Circle', 'Banashankari Bus Station']",8605,1
347-K KRMBS-AECS,Koramangala Bus Station → AECS Layout Singasandra,1,['07:41:00'],16,"['Koramangala Bus Station', 'Sony World 100ft Road  Koramangala', 'Canara Bank Koramangala', 'BDA Complex Koramangala', 'Koramangala Water Tank', 'Kudure Mukha Colony', 'Krupanidhi College', 'Madivala', 'Roopena Agrahara', 'Bommanahalli', 'Hongasandra Metro Station', 'Garvebhavipalya', 'Kudlu Gate', 'BTR Garden', 'Kudlu Panchayath Office', 'AECS Layout Singasandra']",8541,0
45-D,Kempegowda Bus Station → AGS Layout Arehalli,105,"['04:30:00', '05:20:00', '05:50:00', '06:00:00', '06:20:00', '06:40:00', '06:50:00', '07:00:00', '07:05:00', '07:10:00', '07:20:00', '07:25:00', '07:30:00', '07:35:00', '07:40:00', '08:00:00', '08:15:00', '08:30:00', '08:45:00', '09:00:00', '09:05:00', '09:15:00', '09:25:00', '09:45:00', '10:00:00', '10:10:00', '10:20:00', '10:25:00', '10:30:00', '10:35:00', '10:40:00', '11:00:00', '11:10:00', '11:20:00', '11:25:00', '11:30:00', '11:40:00', '11:50:00', '12:00:00', '12:05:00', '12:10:00', '12:15:00', '12:30:00', '12:35:00', '12:50:00', '12:55:00', '13:00:00', '13:05:00', '13:10:00', '13:30:00', '14:00:00', '14:15:00', '14:35:00', '14:40:00', '14:50:00', '15:00:00', '15:05:00', '15:10:00', '15:15:00', '15:20:00', '15:30:00', '15:35:00', '15:40:00', '15:50:00', '16:00:00', '16:15:00', '16:35:00', '16:40:00', '16:50:00', '17:05:00', '17:10:00', '17:30:00', '17:35:00', '17:40:00', '17:45:00', '17:50:00', '17:55:00', '18:10:00', '18:15:00', '18:20:00', '18:30:00', '18:40:00', '18:55:00', '19:20:00', '19:50:00', '19:55:00', '20:10:00', '20:20:00', '20:25:00', '20:30:00', '20:35:00', '20:40:00', '20:45:00', '20:50:00', '20:55:00', '21:00:00', '21:10:00', '21:15:00', '21:20:00', '21:30:00', '21:40:00', '22:00:00', '22:15:00', '22:30:00', '23:30:00']",25,"['Kempegowda Bus Station', 'Maharani College', 'KR Circle', 'St Marthas Hospital', 'Corporation', 'Town Hall', 'KR Market', 'Makkala Koota', 'Chamarajapet', 'Bengaluru High School', 'Ramakrishna Ashrama', 'Hanumanthanagara Ward Office', 'Subramanya Swamy Temple', 'Nirmala Store', 'Srinivasa Nagara', 'Bank Colony', 'Seetha Circle', 'Hoskerehalli Cross', 'Hosakerehalli  Junction', 'Janatabazar Junction', 'Srinivasa Kalyana Mantapa', 'SLV Bakery', 'Ittamadu', 'AGS Layout Cross', 'AGS Layout Arehalli']",1751,0
45-D,AGS Layout Arehalli → Kempegowda Bus Station,107,"['04:50:00', '05:00:00', '05:20:00', '05:30:00', '05:40:00', '05:50:00', '06:00:00', '06:10:00', '06:20:00', '06:25:00', '06:30:00', '06:35:00', '06:40:00', '06:45:00', '06:50:00', '06:55:00', '07:00:00', '07:10:00', '07:25:00', '07:40:00', '07:45:00', '07:50:00', '08:00:00', '08:10:00', '08:15:00', '08:20:00', '08:30:00', '08:40:00', '08:45:00', '08:50:00', '08:55:00', '09:00:00', '09:05:00', '09:15:00', '09:30:00', '09:45:00', '10:00:00', '10:10:00', '10:25:00', '10:35:00', '10:40:00', '10:55:00', '11:00:00', '11:10:00', '11:20:00', '11:30:00', '11:45:00', '11:50:00', '11:55:00', '12:00:00', '12:20:00', '12:40:00', '13:00:00', '13:10:00', '13:20:00', '13:30:00', '13:40:00', '13:50:00', '13:55:00', '14:00:00', '14:05:00', '14:10:00', '14:15:00', '14:20:00', '14:30:00', '14:35:00', '14:50:00', '15:10:00', '15:25:00', '15:40:00', '15:50:00', '15:55:00', '16:05:00', '16:10:00', '16:20:00', '16:25:00', '16:30:00', '16:35:00', '16:40:00', '16:50:00', '16:55:00', '17:05:00', '17:10:00', '17:20:00', '17:35:00', '18:00:00', '18:20:00', '18:30:00', '18:50:00', '19:00:00', '19:10:00', '19:25:00', '19:30:00', '19:35:00', '19:40:00', '19:45:00', '19:50:00', '19:55:00', '20:05:00', '20:20:00', '20:40:00', '20:50:00', '21:15:00', '21:40:00', '21:50:00', '22:15:00', '23:30:00']",24,"['AGS Layout Arehalli', 'Ittamadu 1', 'SLV Bakery', 'Srinivasa Kalyana Mantapa', 'Janatha Bazar Banashankari', 'Hosakerehalli  Junction', 'Hoskerehalli Cross', 'Seetha Circle', 'Bank Colony', 'Srinivasa Nagara', 'Maruthi Circle', 'Subramanya Swamy Temple', 'Ganesha Bhavan', 'Syndicate Bank', 'Ramakrishna Ashrama', 'Bengaluru High School', 'Chamarajapet', 'Makkala Koota', 'KR Market', 'KR Market', 'Town Hall', 'Corporation', 'Mysore Bank', 'Kempegowda Bus Station']",1751,1
13-H,Shivajinagara Bus Station → AGS Layout Arehalli,4,"['08:05:00', '11:10:00', '15:20:00', '18:10:00']",35,"['Shivajinagara Bus Station', 'Indian Express', 'MG Statue (Chinnaswamy Stadium)', 'Museum', 'St Josephs Indian School/ Malya Hospital', 'Richmond Circle', 'KH Road', 'Shanthinagara KH Road', 'Lalbagh Hopcoms', 'Mallige Hospital', 'Siddapura Ashoka Pillar', 'Ashoka Pillar', 'Rani Saraladevi High School', '3rd Block Jayanagara', 'Jayanagara Bus Station', 'Jayanagara Telephone Exchange', 'Jayanagara 38th Cross', 'Jayanagara 40th Cross', 'Sangam Circle', 'Banashankari Bus Station', 'Banashankari Hunasemara', 'Monotype Corporation', 'Bata Show Room banashankari', 'BDA Complex Banashankari 2nd Stage', 'Indira Nursing Home', 'KIMS College', 'Devegowda Petrol Bunk', 'Kamakya Talkies', 'Kathriguppe', 'Janatabazar Junction', 'Srinivasa Kalyana Mantapa', 'SLV Bakery', 'Ittamadu', 'AGS Layout Cross', 'AGS Layout Arehalli']",1632,0
13-H,AGS Layout Arehalli → Shivajinagara Bus Station,4,"['09:25:00', '12:15:00', '16:25:00', '19:25:00']",33,"['AGS Layout Arehalli', 'Ittamadu 1', 'SLV Bakery', 'Srinivasa Kalyana Mantapa', 'Kathriguppe', 'Kamakya Talkies', 'Devegowda Petrol Bunk', 'KIMS College', 'Indira Nursing Home', 'BDA Complex Banashankari 2nd Stage', 'Bata Show Room banashankari', 'Monotype Corporation', 'Banashankari Hunasemara', 'Banashankari Bus Station', 'Sangam Circle', 'Jayanagara 40th Cross', 'Jayanagara 38th Cross', 'Jayanagara Telephone Exchange', 'Jayanagara Bus Station', '3rd Block Jayanagara', 'Madhavan Park', 'Rani Saraladevi High School', 'Ashoka Pillar', 'Siddapura Ashoka Pillar', 'Mallige Hospital', 'Wilson Garden 10th Cross', 'Wilson Garden Police Station', 'Shanthinagara Bus Station', 'KH Road', 'Richmond Circle', 'St Joseph Boys High School Musuem Road', 'State Bank India Garage', 'Shivajinagara Bus Station']",1632,1
45-G AGSLC-KBS,AGS Layout Cross → Kempegowda Bus Station,1,['16:40:00'],17,"['AGS Layout Cross', 'Ittamadu 1', 'SLV Bakery', 'Srinivasa Kalyana Mantapa', 'Janatabazar Junction', 'Kathriguppe', 'Vivekananda Nagara', 'Vidyapeeta Circle', 'Srinivasa Nagara', 'Maruthi Circle', 'Subramanya Swamy Temple', 'Ganesha Bhavan', 'Ramakrishna Ashrama', 'Bengaluru High School', 'Chamarajapet', 'Binny MIll', 'Kempegowda Bus Station']",7653,0
234-F KBS-AGSLO,Kempegowda Bus Station → AGS Layout,4,"['07:30:00', '10:00:00', '14:55:00', '17:35:00']",30,"['Kempegowda Bus Station', 'Maharani College', 'KR Circle', 'St Marthas Hospital', 'Corporation', 'Town Hall', 'KR Market', 'Rayan Circle', 'Water Tank Chamarajapet', 'Chamarajapet', 'Sirsi Circle', 'Mysore Road TollGate', 'New Guddadahalli', 'Mysore Road Bus Station', 'BHEL', 'Mysore Road Metro Station', 'Nayandahalli', 'BWSSB Quarters Nayandahalli', 'Rajarajeshwari nagara Gate', 'Bengaluru University Gate', 'BUC Ladies Hostel', 'BUC Library', 'BUC ADM Block', 'BUC Quarters', 'Muneshwara Layout', 'Press Layout', 'Amma Ashrama Cross', 'Vidyaniketan Public School', 'Manganahalli Cross', 'AGS Layout']",4865,0
234-F KBS-AGSLO,AGS Layout → Kempegowda Bus Station,4,"['08:35:00', '11:25:00', '16:20:00', '18:55:00']",27,"['AGS Layout', 'Manganahalli Cross', 'Vidyaniketan Public School', 'Amma Ashrama Cross', 'Press Layout', 'Muneshwara Layout', 'Bengaluru University Quarters', 'BUC ADM Block', 'BUC Library', 'BUC Ladies Hostel', 'Bengaluru University Gate', 'Rajarajeshwari nagara Gate', 'BWSSB Quarters Nayandahalli', 'Nayandahalli', 'Mysore Road Metro Station', 'BHEL', 'Deepanjalinagara', 'Bapujinagara', 'New Guddadahalli', 'Mysore Road TollGate', 'Sirsi Circle', 'Vinayaka Talkies', 'KR Market', 'Town Hall', 'Corporation', 'Mysore Bank', 'Kempegowda Bus Station']",4865,1
285 KBS-ARMYPR,Kempegowda Bus Station → ARMY PUBLIC SCHOOL (Parachute Regiment),1,['13:00:00'],7,"['Kempegowda Bus Station', 'KPCC Office', 'Shivananda Store', 'RM Guttahalli', 'Palace Ground', 'Mekhri Circle', 'ARMY PUBLIC SCHOOL (Parachute Regiment)']",7547,0
285 KBS-ARMYPR,ARMY PUBLIC SCHOOL (Parachute Regiment) → Kempegowda Bus Station,1,['07:10:00'],8,"['ARMY PUBLIC SCHOOL (Parachute Regiment)', 'Mekhri Circle', 'Palace Ground', 'RM Guttahalli', 'Shivananda Store', 'Swastik Sheshadripuram College', 'Central', 'Kempegowda Bus Station']",7547,1
SBS-ARMYPR,ARMY PUBLIC SCHOOL (Parachute Regiment) → Shivajinagara Bus Station,1,['07:10:00'],10,"['ARMY PUBLIC SCHOOL (Parachute Regiment)', 'Matadahalli', 'C Q A L', 'TV Tower', 'Munireddy Palya J C Nagara', 'Jayamahal', 'Cantonment Railway Station', 'CSI Hospital', 'Indian Express', 'Shivajinagara Bus Station']",7549,1
