name,full_name,trip_count,trip_list,stop_count,stop_list,id,direction_id
244-C VSD,Vidhana Soudha → 2nd Stage 9th Block Nagarabhavi,1,['17:45:00'],19,"['Vidhana Soudha', 'Maharani College', 'Kempegowda Bus Station', 'Okalipura', 'S J R College', 'Gopalapura', 'Rajajinagara 6th Block', 'Prasanna Theatre', 'Magadi Road Tollgate', 'Agrahara Dasarahalli', 'KHB Colony', 'Kamakshipalya', 'Summanahalli', 'Kottigepalya', 'Vokkaliga School Kottigepalya', 'BDA Complex Nagarabhavi', 'Papareddypalya Aladamara', 'Papareddypalya', '2nd Stage 9th Block Nagarabhavi']",3447,0
244-C VSD,2nd Stage 9th Block Nagarabhavi → Shivajinagara Bus Station,1,['08:55:00'],23,"['2nd Stage 9th Block Nagarabhavi', 'Papareddypalya', 'Papareddypalya Aladamara', 'BDA Complex Nagarabhavi', 'Vokkaliga School Kottigepalya', 'Kottigepalya', 'Summanahalli', 'Kamakshipalya', 'KHB Colony', 'Agrahara Dasarahalli', 'Magadi Road TollGate', 'Prasanna Theatre', 'Rajajinagara 6th Block', 'Gopalapura', 'S J R College', 'Okalipura', 'Kodays Circle', 'Maharani College', 'Vidhana Soudha', 'Maharani College', 'Vidhana Soudha Karnataka High Court', 'Indian Express', 'Shivajinagara Bus Station']",3447,1
KLN-HBR,Kalyananagara Bus Stand → 5th Block HBR Layout,1,['07:41:00'],4,"['Kalyananagara Bus Stand', 'Hennur Junction', 'Hennur Cross', '5th Block HBR Layout']",7041,0
KLN-HBR,5th Block HBR Layout → Kalyananagara Bus Stand,1,['18:30:00'],5,"['5th Block HBR Layout', 'HBR Layout 4th Block', 'Hennur Cross', 'Hennur Junction', 'Kalyananagara Bus Stand']",7041,1
296,Kempegowda Bus Station → HBR Layout 5th Block,1,['17:30:00'],23,"['Kempegowda Bus Station', 'Maharani College', 'Vidhana Soudha Karnataka High Court', 'Indian Express', 'Cunningham Road', 'Vasantha Nagara', 'Cantonment Railway Station', 'Bamboo Bazar', 'Coles Park', 'Frazer Town', 'Mosque Road', 'East Railway Station', 'Devis Road', 'Charls School Toll Gate', 'Lingarajapura Bridge', 'Lingarajapura', 'Jyothi School', 'Kacharakanahalli', 'Depot-10 Gate', 'Hennur Junction', 'Hennur Cross', 'HBR Layout 4th Block', 'HBR Layout 5th Block']",2712,0
296,5th Block HBR Layout → Kempegowda Bus Station,2,"['08:00:00', '16:30:00']",22,"['5th Block HBR Layout', 'HBR Layout 4th Block', 'Hennur Cross', 'Hennur Junction', 'Depot-10 Gate', 'Kacharakanahalli', 'Jyothi School', 'Lingarajapura', 'Lingarajapura Bridge', 'Charls School Toll Gate', 'Devis Road', 'Clarence School', 'Frazer Town', 'Coles Park', 'Bamboo Bazar', 'CSI Hospital', 'Indian Express', 'Vidhana Soudha Karnataka High Court', 'MS Building', 'Maharani College', 'Cauvery Bhavana', 'Kempegowda Bus Station']",2712,1
296-B,Kempegowda Bus Station → HBR Layout 5th Block,3,"['08:05:00', '13:20:00', '17:25:00']",23,"['Kempegowda Bus Station', 'Maharani College', 'Vidhana Soudha Karnataka High Court', 'Indian Express', 'Cunningham Road', 'Vasantha Nagara', 'Cantonment Railway Station', 'Bamboo Bazar', 'Coles Park', 'Frazer Town', 'Mosque Road', 'East Railway Station', 'Devis Road', 'Charls School Toll Gate', 'Lingarajapura Bridge', 'Lingarajapura', 'Jyothi School', 'Kacharakanahalli', 'Depot-10 Gate', 'Hennur Junction', 'Hennur Cross', 'HBR Layout 4th Block', 'HBR Layout 5th Block']",4821,0
296-B,5th Block HBR Layout → Kempegowda Bus Station,2,"['07:15:00', '09:20:00']",21,"['5th Block HBR Layout', 'HBR Layout 4th Block', 'Hennur Cross', 'Hennur Junction', 'Depot-10 Gate', 'Kacharakanahalli', 'Jyothi School', 'Lingarajapura', 'Lingarajapura Bridge', 'Charls School Toll Gate', 'Devis Road', 'Clarence School', 'Frazer Town', 'Coles Park', 'Bamboo Bazar', 'CSI Hospital', 'Indian Express', 'Vidhana Soudha Karnataka High Court', 'Maharani College', 'Cauvery Bhavana', 'Kempegowda Bus Station']",4821,1
296-D,Shivajinagara Bus Station → HBR Layout 5th Block,1,['15:25:00'],21,"['Shivajinagara Bus Station', 'Indian Express', 'Cunningham Road', 'Vasantha Nagara', 'Cantonment Railway Station', 'Bamboo Bazar', 'Coles Park', 'Frazer Town', 'Mosque Road', 'East Railway Station', 'Devis Road', 'Charls School Toll Gate', 'Lingarajapura Bridge', 'Lingarajapura', 'Jyothi School', 'Kacharakanahalli', 'Depot-10 Gate', 'Hennur Junction', 'Hennur Cross', 'HBR Layout 4th Block', 'HBR Layout 5th Block']",2809,0
296-D,5th Block HBR Layout → Shivajinagara Bus Station,2,"['14:15:00', '18:20:00']",18,"['5th Block HBR Layout', 'HBR Layout 4th Block', 'Hennur Cross', 'Hennur Junction', 'Depot-10 Gate', 'Kacharakanahalli', 'Jyothi School', 'Lingarajapura', 'Lingarajapura Bridge', 'Charls School Toll Gate', 'Devis Road', 'Clarence School', 'Frazer Town', 'Coles Park', 'Bamboo Bazar', 'CSI Hospital', 'Indian Express', 'Shivajinagara Bus Station']",2809,1
BC-7C,8th Mile Dasarahalli → 8th Mile Dasarahalli,6,"['07:20:00', '08:00:00', '08:40:00', '10:45:00', '17:25:00', '18:05:00']",18,"['8th Mile Dasarahalli', 'Rukmini Nagara', 'HMT Layout 8th Mile', 'Nelagadarenahalli', 'Gruhalakshmi Layout', 'Ganga International School', 'Indiranagara', 'Siddartha International School', 'Thippennahalli Cross', 'Thippenahalli Anjaneya Temple', 'Channa Nayakanapalya', 'Chikkabidarakallu', 'Marison Factory', 'Manjunathanagara Metro Station', 'Widia Factory', 'Nagasandra Metro Staiton', 'Deepak Factory', '8th Mile Dasarahalli']",4673,0
BC-7CA,8th Mile Dasarahalli → 8th Mile Dasarahalli,5,"['09:00:00', '09:40:00', '17:10:00', '17:50:00', '18:30:00']",16,"['8th Mile Dasarahalli', 'Deepak Factory', 'Nagasandra Metro Station', 'Widia Factory', 'Marison Factory', 'Channa Nayakanapalya', 'Thippenahalli Anjaneya Temple', 'Thippennahalli Cross', 'Siddartha International School', 'Indiranagara', 'Ganga International School', 'Gruhalakshmi Layout', 'Nelagadarenahalli', 'HMT Layout 8th Mile', 'Rukmini Nagara', '8th Mile Dasarahalli']",4681,0
250-DD,8th Mile Dasarahalli → 8th Mile Dasarahalli Arrival,12,"['07:20:00', '07:40:00', '08:35:00', '09:25:00', '10:15:00', '11:05:00', '11:30:00', '12:20:00', '12:45:00', '14:00:00', '14:35:00', '15:20:00']",40,"['8th Mile Dasarahalli', 'Widia School', 'Bagalagunte', 'MEI Layout Arch', 'Bone Mill', 'Sapthagiri College', 'Sapthagiri Hospital', 'Janapriya Apartment', 'Ganapathi Nagara Raghavendra Badavane', 'Thammenahalli Cross', 'Acharya Institute of Technology', 'Aluru Cross', 'Aluru', 'Alurupalya', 'Narasipura', 'Mattahalli', 'Basappa Layout Mattahalli', 'Mattahalli Cross', 'APMC Yard', 'Vaderahalli Cross', 'Kodipalya', 'Nagaruru Cross', 'The Golden Palm Resort Nagarur colony Nelamangala', 'Mantri Layout (M L A LAYOUT)', 'Biscuits Factory', 'Padmavathi Srinivasa Temple Cross', 'Nisarga Layout', 'Makali Cross', 'Makali', 'Madanayakanahalli', 'TCI', 'NICE Road Madavara', 'Anchepalya', 'Jindal', 'Chikkabidarakallu', 'Marison Factory', 'Manjunathanagara Metro Station', 'Widia Factory', 'Deepak Factory', '8th Mile Dasarahalli Arrival']",8574,0
